Word1,Word2,POS,Sim1,Sim2,STD,Cosine,Pearson,Spearman 
trau_chuốt,phát_triển,V,2.07,3.45,0.93,0.134,0.128,0.135
gươm,lưỡi,N,1.4,2.33,1.02,0.252,0.254,0.252
bánh_xe,vành,N,2.6,4.33,0.95,0.462,0.465,0.416
tượng_đài,phân_bón,N,0.07,0.12,0.25,-0.086,-0.086,-0.055
nạc,búi,A,0.6,1.0,0.8,0.144,0.146,0.139
khung_thành,cầu_môn,N,5.4,9.0,1.25,0.906,0.906,0.898
kĩ,sơ_sài,A,0.2,0.33,0.4,0.358,0.36,0.371
buồn,vui,A,0.2,0.33,0.54,0.633,0.631,0.576
nhược_điểm,ưu_điểm,N,0.33,0.55,0.79,0.697,0.697,0.684
quan_hệ,trạng_thái,N,2.73,4.55,0.68,0.179,0.18,0.168
đong_đưa,vung_vẩy,V,3.93,6.55,1.24,0.373,0.372,0.332
bừa_bãi,gọn_ghẽ,A,0.27,0.45,0.44,0.164,0.164,0.142
nghiêm_lệnh,đồng_dao,N,1.07,1.78,1.06,None,None,None
nhà_thơ,thi_nhân,N,4.87,8.12,0.81,0.654,0.653,0.663
máy_tính,vi_xử_lý,N,2.4,4.0,0.61,0.437,0.434,0.423
né_tránh,hích,V,2.6,4.33,1.14,0.087,0.087,0.069
địch,ta,N,0.33,0.55,0.7,0.341,0.339,0.343
lưu_thông,ách_tắc,V,0.53,0.88,1.02,0.295,0.311,0.302
thứ_yếu,rộng_rãi,A,0.2,0.33,0.4,0.039,0.045,0.046
đặt_chân,thay,V,3.27,5.45,1.24,0.206,0.216,0.239
dì_ghẻ,phụ_huynh,N,3.8,6.33,0.91,0.244,0.24,0.228
rỗi,rỗi_rãi,A,5.53,9.22,0.72,0.515,0.517,0.506
tái_phát,nhiễm_khuẩn,V,0.87,1.45,0.72,0.41,0.41,0.419
mầm,rau_quả,N,3.53,5.88,1.02,0.2,0.2,0.188
hạn_hán,lụt_lội,N,0.33,0.55,0.6,0.674,0.679,0.643
lưỡng_lự,dứt_khoát,V,0.27,0.45,0.57,0.231,0.231,0.229
tung,cấp_phát,V,3.93,6.55,0.68,0.184,0.184,0.157
giầu,khó,A,0.53,0.88,0.72,0.137,0.138,0.158
làm_đẹp,cải_tạo,V,2.4,4.0,1.02,0.185,0.177,0.152
ban_mai,sớm_mai,N,5.4,9.0,1.08,0.477,0.489,0.451
quỳ,ví,V,1.0,1.67,1.26,0.057,0.059,0.052
bại_lộ,lộ,V,5.07,8.45,1.24,0.471,0.471,0.448
tính_cách,phẩm_chất,N,4.4,7.33,1.14,0.494,0.493,0.489
triều_đại,cổ_đại,N,3.67,6.12,1.14,0.274,0.277,0.27
cõi_dương,cõi_âm,N,0.6,1.0,1.2,None,None,None
lình_xình,nặng_tình,A,1.33,2.22,1.14,0.17,0.169,0.121
người_làm,người_bị_hại,N,2.2,3.67,0.83,0.135,0.134,0.178
cõi_tục,trần_gian,N,5.4,9.0,0.71,None,None,None
chần_chừ,lảo_đảo,V,3.2,5.33,0.98,0.113,0.117,0.13
khử_trùng,sát_trùng,V,5.53,9.22,0.81,0.705,0.702,0.702
